exp_name,seed,iteration,n_target_units,n_target_examples,target_fraction,eval_set,entity_f1_micro,entity_f1_macro,entity_f1_weighted,entity_precision,entity_recall,token_f1,token_acc,eval_loss,train_time_sec,best_epoch,peak_gpu_mem_mb,f1_Archive,f1_CelestialObject,f1_CelestialObjectRegion,f1_CelestialRegion,f1_Citation,f1_Collaboration,f1_ComputingFacility,f1_Database,f1_Dataset,f1_EntityOfFutureInterest,f1_Event,f1_Fellowship,f1_Formula,f1_Grant,f1_Identifier,f1_Instrument,f1_LOC,f1_Mission,f1_Model,f1_ORG,f1_ObservationalTechniques,f1_Observatory,f1_PER,f1_Proposal,f1_Software,f1_Survey,f1_Tag,f1_Telescope,f1_TextGarbage,f1_URL,f1_Wavelength,support_Archive,support_CelestialObject,support_CelestialObjectRegion,support_CelestialRegion,support_Citation,support_Collaboration,support_ComputingFacility,support_Database,support_Dataset,support_EntityOfFutureInterest,support_Event,support_Fellowship,support_Formula,support_Grant,support_Identifier,support_Instrument,support_LOC,support_Mission,support_Model,support_ORG,support_ObservationalTechniques,support_Observatory,support_PER,support_Proposal,support_Software,support_Survey,support_Tag,support_Telescope,support_TextGarbage,support_URL,support_Wavelength
smoke_astro,42,0,0,0,0.0,source_test,0.06300813008130081,0.05115511551155114,0.05608033451047511,0.44285714285714284,0.03391684901531729,0.05309734513274336,0.9417894208235688,0.278892056129518,42.545904874801636,1,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.15346534653465344,,,,,,,,,,,,,,,,,,,,,,,,,376,,,204,,,334,,,,,,,,
smoke_astro,42,0,0,0,0.0,target_test,0.0012616306576249802,0.0001314643485119879,0.0012482551348255192,0.13333333333333333,0.0006338139755981619,0.0007264802034144569,0.782150776053215,1.6545509714633226,42.545904874801636,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004075394803871625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,181,30,8,491,20,37,20,25,24,11,85,158,654,20,95,200,22,214,1157,1,182,1933,25,90,81,11,223,8,19,258
smoke_astro,42,0,0,0,0.0,other_target_test,0.0032154340836012866,0.0028844420407427435,0.002812751780382809,0.022922636103151862,0.0017289820618111088,0.01009950987672657,0.8426321630108847,0.7807656610729518,42.545904874801636,1,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.00865332612222823,,,,,,,,,,,,,,,,,,,,,,,,,1557,,,1566,,,1504,,,,,,,,
smoke_astro,42,1,2,2,0.00015942606616181745,source_test,0.031813361611876985,0.027548209366391185,0.030200553375409157,0.5172413793103449,0.016411378555798686,0.023759608665269046,0.9415383327753599,0.28109233140472384,43.58242607116699,1,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.08264462809917356,,,,,,,,,,,,,,,,,,,,,,,,,376,,,204,,,334,,,,,,,,
smoke_astro,42,1,2,2,0.00015942606616181745,target_test,0.0,0.0,0.0,0.0,0.0,0.0,0.7821824516946468,1.6593160320073366,43.58242607116699,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,181,30,8,491,20,37,20,25,24,11,85,158,654,20,95,200,22,214,1157,1,182,1933,25,90,81,11,223,8,19,258
smoke_astro,42,1,2,2,0.00015942606616181745,other_target_test,0.0008516074089844581,0.0008487163165711862,0.0008276222218217402,0.02857142857142857,0.0004322455154527772,0.005082212257100149,0.8428446627157462,0.7990444493307559,43.58242607116699,1,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0025461489497135585,,,,,,,,,,,,,,,,,,,,,,,,,1557,,,1566,,,1504,,,,,,,,
