exp_name,seed,iteration,n_blocks,n_target_examples,n_source_examples,train_set_size,target_fraction,eval_set,entity_f1_micro,entity_f1_macro,entity_f1_weighted,entity_precision,entity_recall,token_f1,token_acc,eval_loss,delta_f1_vs_iter0,f1_Archive,f1_CelestialObject,f1_CelestialObjectRegion,f1_CelestialRegion,f1_Citation,f1_Collaboration,f1_ComputingFacility,f1_Database,f1_Dataset,f1_EntityOfFutureInterest,f1_Event,f1_Fellowship,f1_Formula,f1_Grant,f1_Identifier,f1_Instrument,f1_LOC,f1_Mission,f1_Model,f1_ORG,f1_ObservationalTechniques,f1_Observatory,f1_PER,f1_Proposal,f1_Software,f1_Survey,f1_Tag,f1_Telescope,f1_TextGarbage,f1_URL,f1_Wavelength,support_Archive,support_CelestialObject,support_CelestialObjectRegion,support_CelestialRegion,support_Citation,support_Collaboration,support_ComputingFacility,support_Database,support_Dataset,support_EntityOfFutureInterest,support_Event,support_Fellowship,support_Formula,support_Grant,support_Identifier,support_Instrument,support_LOC,support_Mission,support_Model,support_ORG,support_ObservationalTechniques,support_Observatory,support_PER,support_Proposal,support_Software,support_Survey,support_Tag,support_Telescope,support_TextGarbage,support_URL,support_Wavelength,best_epoch,train_time_sec,peak_gpu_mem_mb
baseline_astro_only,42,0,0,0,1816,1816,,ewt_dev,0.3925233644859813,0.05573412346385514,0.5453365574088757,0.33285302593659943,0.4782608695652174,0.0963765431520978,0.9412700306175196,0.39517122802753296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.5209580838323352,0.0,0.0,0.4770240700218818,0.0,0.0,0.618307426597582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,399,0,0,224,0,0,343,0,0,0,0,0,0,0,0,53,4361.063477754593,11763
baseline_astro_only,42,0,0,0,1816,1816,,conll_test,0.5069456972758434,0.05758325628654869,0.5935700581759684,0.4576547231270358,0.5681358673675697,0.09523193964844759,0.8944115430171207,0.6546539610458745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5268176400476758,0.0,0.0,0.5103163686382394,0.0,0.0,0.7479469361970942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,0,0,1661,0,0,1617,0,0,0,0,0,0,0,0,53,4361.063477754593,11763
baseline_astro_only,42,0,0,0,1816,1816,,astro_test,0.739611972311592,0.5558533216746866,0.7324500729808351,0.7270235562455676,0.7526440065876937,0.665217518919889,0.9537493552341588,0.4496241623535752,0.0,0.826219512195122,0.7234590616375346,0.16560509554140126,0.2,0.8660117878192535,0.7279693486590039,0.6055194805194805,0.49826989619377166,0.31654676258992803,0.03134796238244514,0.4126984126984127,0.6017557861133281,0.6284010436079016,0.5023751817741153,0.45353159851301117,0.5579119086460033,0.8819732595666205,0.3257328990228013,0.35446489434219497,0.8603748580083301,0.14432989690721648,0.8300461603021401,0.9642470205850489,0.3066202090592335,0.6364428945074107,0.6383233532934132,0.7397260273972601,0.7206373682857876,0.05357142857142857,0.9491525423728814,0.7081873208028034,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,53,4361.063477754593,11763
baseline_astro_only,123,0,0,0,1816,1816,,ewt_dev,0.41954507160909854,0.05490290387460354,0.5747775679541364,0.3536931818181818,0.515527950310559,0.09274817134366616,0.9411109785677363,0.35015452020461596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5504587155963303,0.0,0.0,0.49893390191897663,0.0,0.0,0.6525974025974026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,224,0,0,343,0,0,0,0,0,0,0,0,57,4650.744550943375,11761
baseline_astro_only,123,0,0,0,1816,1816,,conll_test,0.5096762524868873,0.06173761050629066,0.5951597476904485,0.46106020942408377,0.5697533360291145,0.10134459495897513,0.8952083557661247,0.6552433920679269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413073713490959,0.0,0.0,0.4770833333333333,,0.0,0.7719999999999999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,0,0,1661,,0,1617,0,0,0,,0,0,0,0,57,4650.744550943375,11761
baseline_astro_only,123,0,0,0,1816,1816,,astro_test,0.7393788672765492,0.5553378068224364,0.7295266242631683,0.7354812109789138,0.7433180546461099,0.6650466538639792,0.9533775681777075,0.4715838436037302,0.0,0.7870778267254037,0.7362789776104617,0.16586921850079747,0.17460317460317462,0.859075180874489,0.7109471094710946,0.6052855924978686,0.4949152542372881,0.3790087463556852,0.006430868167202572,0.4324324324324324,0.6226870474658085,0.6200527704485489,0.49703797222491986,0.4421052631578947,0.5263157894736842,0.8702325581395349,0.39436619718309857,0.3244806731527741,0.856766049644388,0.15217391304347827,0.8173116937161882,0.9683980500924524,0.35587188612099646,0.6393596986817326,0.6476624857468644,0.7234042553191488,0.7242841993637328,0.017391304347826087,0.946629213483146,0.7170166092134127,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,57,4650.744550943375,11761
baseline_astro_only,456,0,0,0,1816,1816,,ewt_dev,0.4531897265948633,0.06104707824709512,0.5982865592593654,0.3777624309392265,0.5662525879917184,0.09887272019252179,0.9417471867668694,0.37556735355229603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476923076923076,0.0,0.0,0.5038759689922481,,0.0,0.7187969924812029,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,224,,0,343,0,0,0,0,0,,0,0,71,5613.186664581299,11761
baseline_astro_only,456,0,0,0,1816,1816,,conll_test,0.5121929591203335,0.0651786669805305,0.6064321867269103,0.45616806191754855,0.5839061868176304,0.10633130459176289,0.8873694411543017,0.7015017850531472,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010413567390657,0.0,0.0,0.5188900033433634,0.0,0.0,0.8050713153724247,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1668,0,0,1661,0,0,1617,0,0,0,,0,0,0,0,71,5613.186664581299,11761
baseline_astro_only,456,0,0,0,1816,1816,,astro_test,0.7421242168615263,0.5534851757755426,0.7316693542759202,0.7380391695121472,0.7462547373851618,0.6644912091518397,0.9532268436953624,0.49656618721783163,0.0,0.8296529968454259,0.7211124167645906,0.1618887015177066,0.1754385964912281,0.8609562691371595,0.7454068241469817,0.5982456140350877,0.5136436597110754,0.39577039274924475,0.0,0.31578947368421056,0.5965463108320251,0.6253209559549674,0.5042016806722689,0.46511627906976744,0.5508571428571428,0.88164987110382,0.36101083032490977,0.32571578670869444,0.8550669937724099,0.06593406593406594,0.8276762402088773,0.9709669275435497,0.25098039215686274,0.6447733580018502,0.6602150537634408,0.8082191780821918,0.7284802043422732,0.03883495145631068,0.9601139601139602,0.7184553210597217,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,71,5613.186664581299,11761
