exp_name,seed,iteration,n_blocks,n_target_examples,n_source_examples,train_set_size,target_fraction,eval_set,entity_f1_micro,entity_f1_macro,entity_f1_weighted,entity_precision,entity_recall,token_f1,token_acc,eval_loss,delta_f1_vs_iter0,f1_Archive,f1_CelestialObject,f1_CelestialObjectRegion,f1_CelestialRegion,f1_Citation,f1_Collaboration,f1_ComputingFacility,f1_Database,f1_Dataset,f1_EntityOfFutureInterest,f1_Event,f1_Fellowship,f1_Formula,f1_Grant,f1_Identifier,f1_Instrument,f1_LOC,f1_Mission,f1_Model,f1_ORG,f1_ObservationalTechniques,f1_Observatory,f1_PER,f1_Proposal,f1_Software,f1_Survey,f1_Tag,f1_Telescope,f1_TextGarbage,f1_URL,f1_Wavelength,support_Archive,support_CelestialObject,support_CelestialObjectRegion,support_CelestialRegion,support_Citation,support_Collaboration,support_ComputingFacility,support_Database,support_Dataset,support_EntityOfFutureInterest,support_Event,support_Fellowship,support_Formula,support_Grant,support_Identifier,support_Instrument,support_LOC,support_Mission,support_Model,support_ORG,support_ObservationalTechniques,support_Observatory,support_PER,support_Proposal,support_Software,support_Survey,support_Tag,support_Telescope,support_TextGarbage,support_URL,support_Wavelength,best_epoch,train_time_sec,peak_gpu_mem_mb
baseline_conll_only,42,0,0,0,14041,14041,,ewt_dev,0.7405189620758483,0.728630271016093,0.7465803677842917,0.7148362235067437,0.7681159420289855,0.8401587864862686,0.9779315280925683,0.14417536212394702,0.0,,,,,,,,,,,,,,,,,0.7649301143583227,,,0.6,,,0.8209606986899564,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,13,1081.8588614463806,5004
baseline_conll_only,42,0,0,0,14041,14041,,conll_test,0.924055746313876,0.9245981205074467,0.9242790612665502,0.9231234866828087,0.9249898908208654,0.9513416467883381,0.9857435124367395,0.10626513944980279,0.0,,,,,,,,,,,,,,,,,0.9232599643069601,,,0.8902840059790732,,,0.9602503912363067,,,,,,,,,,,,,,,,,,,,,,,,,1668,,,1661,,,1617,,,,,,,,,13,1081.8588614463806,5004
baseline_conll_only,42,0,0,0,14041,14041,,astro_test,0.2624007460332698,0.03920716985720001,0.17137369429341565,0.4247846550039961,0.18983272813857968,0.08223863081278993,0.8380951104977927,2.4410901397466658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24441737718229797,0.0,0.0,0.5241120538950241,0.0,0.0,0.44689283449587824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,13,1081.8588614463806,5004
baseline_conll_only,123,0,0,0,14041,14041,,ewt_dev,0.7306024096385542,0.7233879876472097,0.7359975203500753,0.6834986474301172,0.7846790890269151,0.8267949555397622,0.9746709610720108,0.1862730133962898,0.0,,,,,,,,,,,,,,,,,0.7266009852216748,,,0.6225402504472273,,,0.8210227272727272,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,15,1179.9404120445251,5005
baseline_conll_only,123,0,0,0,14041,14041,,conll_test,0.9164415090563394,0.9168373606710926,0.9164747138413389,0.9072716465226868,0.9257986251516377,0.9475811791015403,0.9842790998169484,0.11697929174119458,0.0,,,,,,,,,,,,,,,,,0.9167650531286895,,,0.8761563712324678,,,0.9575906576521205,,,,,,,,,,,,,,,,,,,,,,,,,1668,,,1661,,,1617,,,,,,,,,15,1179.9404120445251,5005
baseline_conll_only,123,0,0,0,14041,14041,,astro_test,0.2649831987562064,0.03799860596880662,0.1601190771919459,0.3599237031234034,0.20967517907811972,0.0826306528630223,0.8415333034117324,2.53116285353899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26472594951103023,0.0,0.0,0.4648130903285885,0.0,0.0,0.44841774519338673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,15,1179.9404120445251,5005
baseline_conll_only,456,0,0,0,14041,14041,,ewt_dev,0.7437284800787015,0.7345586225207246,0.7505184121931068,0.7085285848172446,0.782608695652174,0.8352935618657794,0.976857926756531,0.15104670526777644,0.0,,,,,,,,,,,,,,,,,0.7519582245430809,,,0.6131907308377896,,,0.8385269121813032,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,11,970.3917779922485,5011
baseline_conll_only,456,0,0,0,14041,14041,,conll_test,0.9234334072133791,0.9239858781614382,0.9236633639130504,0.9202811244979919,0.92660735948241,0.9524366470358705,0.9857650479164424,0.10256545653538962,0.0,,,,,,,,,,,,,,,,,0.9268727705112961,,,0.8843861740166866,,,0.9606986899563319,,,,,,,,,,,,,,,,,,,,,,,,,1668,,,1661,,,1617,,,,,,,,,11,970.3917779922485,5011
baseline_conll_only,456,0,0,0,14041,14041,,astro_test,0.2930234424103023,0.043703828920910945,0.18479486584253743,0.44934787958329914,0.2173938924936008,0.08724972966232196,0.8431895980010584,2.2910022169351576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29415041782729806,0.0,0.0,0.5328967642526964,0.0,0.0,0.527771514468245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,11,970.3917779922485,5011
